topic,alpha,word,weight
17,0.3333333333333333,客,311
17,0.3333333333333333,鳥,305
17,0.3333333333333333,外,304
17,0.3333333333333333,步,290
17,0.3333333333333333,琴,280
17,0.3333333333333333,徑,275
17,0.3333333333333333,掃,272
17,0.3333333333333333,自,241
18,0.3333333333333333,月,1598
18,0.3333333333333333,夜,1238
18,0.3333333333333333,秋,1007
18,0.3333333333333333,風,973
18,0.3333333333333333,明,771
18,0.3333333333333333,迢,659
18,0.3333333333333333,空,604
18,0.3333333333333333,露,491
18,0.3333333333333333,清,443
18,0.3333333333333333,愁,429
18,0.3333333333333333,暗,384
18,0.3333333333333333,滿,351
18,0.3333333333333333,樓,336
18,0.3333333333333333,遞,322
18,0.3333333333333333,長,321
18,0.3333333333333333,河,258
18,0.3333333333333333,滴,253
18,0.3333333333333333,吹,249
18,0.3333333333333333,流,243
18,0.3333333333333333,涼,233
19,0.3333333333333333,是,1272
19,0.3333333333333333,應,1002
19,0.3333333333333333,處,784
19,0.3333333333333333,更,709
19,0.3333333333333333,似,680
19,0.3333333333333333,有,649
19,0.3333333333333333,到,570
19,0.3333333333333333,時,475
19,0.3333333333333333,猶,461
19,0.3333333333333333,只,453
19,0.3333333333333333,卻,444
19,0.3333333333333333,堪,410
19,0.3333333333333333,未,400
19,0.3333333333333333,得,398
19,0.3333333333333333,曾,396
19,0.3333333333333333,知,395
19,0.3333333333333333,向,387
19,0.3333333333333333,便,380
19,0.3333333333333333,恐,318
19,0.3333333333333333,疑,289
20,0.3333333333333333,書,1482
20,0.3333333333333333,居,1192
20,0.3333333333333333,餘,1099
20,0.3333333333333333,疏,944
20,0.3333333333333333,虛,788
20,0.3333333333333333,初,719
20,0.3333333333333333,魚,583
20,0.3333333333333333,如,575
20,0.3333333333333333,廬,488
20,0.3333333333333333,有,465
20,0.3333333333333333,除,386
20,0.3333333333333333,何,364
20,0.3333333333333333,車,310
20,0.3333333333333333,舒,249
20,0.3333333333333333,寄,246
20,0.3333333333333333,渠,223
20,0.3333333333333333,久,211
20,0.3333333333333333,問,200
20,0.3333333333333333,隱,196
20,0.3333333333333333,下,195
21,0.3333333333333333,所,912
21,0.3333333333333333,我,681
21,0.3333333333333333,為,602
21,0.3333333333333333,其,579
21,0.3333333333333333,以,533
21,0.3333333333333333,或,488
21,0.3333333333333333,可,478
21,0.3333333333333333,吾,443
21,0.3333333333333333,乃,433
21,0.3333333333333333,亦,387
21,0.3333333333333333,非,367
21,0.3333333333333333,者,350
21,0.3333333333333333,既,315
21,0.3333333333333333,若,298
21,0.3333333333333333,有,294
21,0.3333333333333333,言,285
21,0.3333333333333333,物,281
21,0.3333333333333333,安,280
21,0.3333333333333333,云,279
21,0.3333333333333333,復,269
22,0.3333333333333333,未,1383
22,0.3333333333333333,欲,1196
22,0.3333333333333333,已,1023
22,0.3333333333333333,猶,984
22,0.3333333333333333,盡,857
22,0.3333333333333333,漸,723
22,0.3333333333333333,來,630
22,0.3333333333333333,將,568
22,0.3333333333333333,初,567
22,0.3333333333333333,日,469
22,0.3333333333333333,成,452
22,0.3333333333333333,看,419
22,0.3333333333333333,又,393
22,0.3333333333333333,覺,393
22,0.3333333333333333,更,388
